书名,作者,出版社,出版时间,价格,评分,评论,链接
红楼梦,[清] 曹雪芹 著 ,人民文学出版社,1996-12,59.70元,9.6,都云作者痴，谁解其中味？,https://book.douban.com/subject/1007305/
活着,余华 ,作家出版社,2012-8-1,20.00元,9.4,生的苦难与伟大,https://book.douban.com/subject/4913064/
1984,[英] 乔治·奥威尔 ,北京十月文艺出版社,2010-4-1,28.00,9.4,栗树荫下，我出卖你，你出卖我,https://book.douban.com/subject/4820710/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,南海出版公司,2011-6,39.50元,9.3,魔幻现实主义文学代表作,https://book.douban.com/subject/6082808/
三体全集,刘慈欣 ,重庆出版社,2012-1-1,168.00元,9.5,地球往事三部曲,https://book.douban.com/subject/6518605/
飘,[美国] 玛格丽特·米切尔 ,译林出版社,2000-9,40.00元,9.3,革命时期的爱情，随风而逝,https://book.douban.com/subject/1068920/
哈利·波特,J.K.罗琳 (J.K.Rowling) ,人民文学出版社,2008-12-1,498.00元,9.7,从9¾站台开始的旅程,https://book.douban.com/subject/24531956/
三国演义（全二册）,[明] 罗贯中 ,人民文学出版社,1998-05,39.50元,9.3,是非成败转头空,https://book.douban.com/subject/1019568/
房思琪的初恋乐园,林奕含 ,北京联合出版公司,2018-2,45.00元,9.2,向死而生的文学绝唱,https://book.douban.com/subject/27614904/
动物农场,[英] 乔治·奥威尔 ,上海译文出版社,2007-3,10.00元,9.3,太阳底下并无新事,https://book.douban.com/subject/2035179/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,1981-8,53.00元,68.00元,9.3,名侦探的代名词,https://book.douban.com/subject/1040211/
白夜行,[日] 东野圭吾 ,南海出版公司,2013-1-1,39.50元,9.2,一宗离奇命案牵出跨度近20年步步惊心的故事,https://book.douban.com/subject/10554308/
小王子,[法] 圣埃克苏佩里 ,人民文学出版社,2003-8,22.00元,9.1,献给长成了大人的孩子们,https://book.douban.com/subject/1084336/
安徒生童话故事集,（丹麦）安徒生 ,人民文学出版社,1997-08,25.00元,9.2,为了争取未来的一代,https://book.douban.com/subject/1046209/
天龙八部,金庸 ,生活·读书·新知三联书店,1994-5,96.00元,9.2,有情皆孽，无人不冤,https://book.douban.com/subject/1255625/
撒哈拉的故事,三毛 ,哈尔滨出版社,2003-8,15.80元,9.2,游荡的自由灵魂,https://book.douban.com/subject/1060068/
杀死一只知更鸟,[美] 哈珀·李 ,译林出版社,2012-9,32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心,https://book.douban.com/subject/6781808/
呐喊,鲁迅 ,人民文学出版社,1973-3,0.36元,9.1,新文学的第一声呐喊,https://book.douban.com/subject/1449351/
